Combined_Key,Lat,Long_
"Hamilton, Tennessee, US",35.17670231,-85.16652245
"Barranquitas, Puerto Rico, US",18.201592,-66.30963
"Penobscot, Maine, US",45.40194593,-68.65020455
"Lincoln, Georgia, US",33.79201475,-82.45024131
"Onslow, North Carolina, US",34.72607366,-77.42908179
"Daggett, Utah, US",40.88798265,-109.5121093
"Scott, Missouri, US",37.05588075,-89.56474493
"Morton, North Dakota, US",46.71681782,-101.2822377
"Traverse, Minnesota, US",45.77298854,-96.47062949
"Laramie, Wyoming, US",41.30702520000001,-104.6887497
"Prairie, Montana, US",46.86048047,-105.379384
"Carroll, Ohio, US",40.5789686,-81.09178213
"Villalba, Puerto Rico, US",18.127951,-66.473115
"Warren, Indiana, US",40.34728141,-87.35602659
"Morton, Kansas, US",37.19141121,-101.79925190000002
"Coshocton, Ohio, US",40.30096166,-81.91729018
"McCurtain, Oklahoma, US",34.11664328,-94.77222373
"Jefferson, Mississippi, US",31.73397872,-91.03764977
"Custer, Colorado, US",38.10883162,-105.3683478
"Nobles, Minnesota, US",43.67434621,-95.75329576
"Haskell, Kansas, US",37.5620394,-100.8710738
"Kershaw, South Carolina, US",34.33988254,-80.58763164
"Hill, Montana, US",48.62879827,-110.1129252
"McDuffie,Georgia,US",33.47851918,-82.48252774
"Cook, Minnesota, US",47.90504893,-90.52629546
"Mendocino, California, US",39.4381191,-123.3911313
"Winnebago, Iowa, US",43.37751174,-93.73407298
"Madison, Tennessee, US",35.61181957,-88.84076036
"Platte, Missouri, US",39.38154439,-94.77068479
"Fillmore, Nebraska, US",40.52458567,-97.59646937
"Monroe, Kentucky, US",36.71225341,-85.71596443
"Dale, Alabama, US",31.43037123,-85.61095742
"Calhoun, Georgia, US",31.53169785,-84.62725131
"Ward, North Dakota, US",48.22390169,-101.5436763
"Pontotoc, Mississippi, US",34.226046000000004,-89.03636807
"Glades, Florida, US",26.95635849,-81.18996211
"Union, Louisiana, US",32.83121059,-92.3749373
